Rank,Player_Name,Matches_Played,Average,Strike_Rate,Boundary_Percentage,Batting_Impact_Score,Ranking_Score
240,M Morkel,70,11.45,140.0,58.73,259.0,41.69
241,AM Nayar,51,17.68,116.46,50.6,1066.23,41.68
242,S Sohal,20,18.4,126.03,66.3,615.01,41.66
243,SM Katich,11,24.1,129.57,63.07,426.28,41.36
244,Umran Malik,26,11.5,143.75,69.57,106.38,40.88
245,OC McCoy,8,8.0,160.0,75.0,92.0,40.69
246,Shivam Sharma,5,5.0,166.67,80.0,90.83,40.67
247,KMDN Kulasekara,5,5.0,166.67,80.0,90.83,40.67
248,Harpreet Brar,46,20.33,120.2,55.74,426.1,40.39
249,AC Blizzard,7,17.14,133.33,80.0,246.67,40.32
250,LPC Silva,3,20.0,153.85,65.0,136.92,40.31
251,AP Tare,28,14.12,124.18,66.67,570.59,40.28
252,P Negi,46,14.04,126.3,55.89,610.65,40.27
253,Salman Butt,7,27.57,119.88,68.39,349.44,40.12
254,Sikandar Raza,9,26.0,133.82,52.75,339.91,40.04
255,D Pretorius,7,11.0,157.14,68.18,144.57,40.0
256,Misbah-ul-Haq,8,16.71,144.44,64.96,247.72,39.98
257,S Arora,4,14.0,150.0,76.19,138.0,39.84
258,DB Das,22,21.71,116.48,61.84,514.24,39.81
259,SM Pollock,13,18.38,132.43,65.31,286.72,39.69
260,KV Sharma,88,13.54,119.32,51.7,587.66,39.5
261,S Vidyut,8,18.12,133.03,70.34,284.01,39.39
262,AJ Hosein,3,16.0,160.0,62.5,104.0,39.33
263,DJG Sammy,22,19.67,122.41,56.95,503.7,39.25
264,Anuj Rawat,21,19.88,119.1,59.12,536.55,39.12
265,JO Holder,46,12.33,122.75,61.78,449.87,38.99
266,Harmeet Singh,27,4.5,150.0,66.67,102.0,38.92
267,B Lee,38,12.4,127.84,64.52,249.92,38.88
268,R Bhatia,94,11.4,120.42,50.88,573.21,38.82
269,M Manhas,38,22.35,109.36,45.14,825.68,38.8
270,LR Shukla,43,15.0,115.71,56.3,665.36,38.66
271,JD Unadkat,115,12.56,118.93,52.74,360.97,38.62
272,HV Patel,120,8.84,117.6,57.66,469.8,38.54
273,DB Ravi Teja,25,19.74,118.3,51.73,621.65,38.49
274,B Akhil,15,12.67,138.18,65.79,183.09,38.46
275,JEC Franklin,19,29.73,108.64,47.09,544.82,38.41
276,A Manohar,20,15.37,124.26,60.27,500.13,38.26
277,HC Brook,11,21.11,123.38,61.05,346.69,38.02
278,C Munro,13,14.75,125.53,70.06,328.27,37.94
279,KS Bharat,9,28.43,122.09,48.24,359.54,37.84
280,J Botha,34,20.45,113.93,45.48,670.46,37.83
281,SP Fleming,10,21.78,118.79,64.29,353.39,37.74
282,AD Hales,6,24.67,125.42,59.46,284.71,37.68
283,MA Wood,5,6.0,150.0,83.33,93.0,37.61
284,DH Yagnik,17,17.0,124.09,61.18,317.04,37.52
285,MJ McClenaghan,56,6.54,121.43,72.94,188.21,37.48
286,DT Christian,49,14.84,115.58,44.78,747.79,37.26
287,K Rabada,88,13.22,109.68,56.3,411.84,37.18
288,AL Menaria,25,19.1,112.64,50.87,657.82,37.11
289,R Dhawan,37,19.09,112.3,54.29,371.15,37.04
290,Azmatullah Omarzai,15,12.38,133.78,62.63,215.39,37.02
291,AP Dole,3,17.0,154.55,52.94,128.27,36.94
292,P Sahu,5,19.0,146.15,52.63,101.58,36.92
293,P Kumar,119,8.95,108.28,55.88,564.14,36.85
294,KJ Abbott,5,13.0,162.5,46.15,100.75,36.71
295,Ankit Sharma,21,12.43,129.85,59.77,195.43,36.47
296,Shivang Kumar,4,4.5,150.0,88.89,88.5,36.46
297,MG Bracewell,5,29.0,123.4,51.72,148.7,36.29
298,UT Khawaja,6,21.17,127.0,58.27,254.0,36.2
299,AB McDonald,10,24.6,123.0,48.78,246.0,36.19
300,YV Takawale,10,24.0,107.87,63.54,341.93,36.14
301,R Vinay Kumar,104,11.07,113.14,44.52,521.57,35.95
302,B Chipli,21,18.67,111.55,55.0,475.78,35.93
303,AB Agarkar,42,17.9,116.23,45.81,326.62,35.88
304,I Malhotra,1,7.0,175.0,57.14,98.0,35.85
305,UT Yadav,147,9.9,103.48,56.73,363.74,35.79
306,CA Pujara,22,20.53,99.74,57.44,634.87,35.74
307,TK Curran,13,25.4,118.69,45.67,249.85,35.74
308,D Salunkhe,5,16.5,137.5,60.61,118.25,35.72
309,MW Short,7,17.0,120.2,70.59,238.6,35.71
310,DJ Harris,4,27.75,109.9,66.67,221.45,35.7
311,VRV Singh,18,2.0,133.33,100.0,72.67,35.67
312,S Narwal,7,12.33,137.04,64.86,124.02,35.6
313,AS Raut,17,21.56,116.17,48.45,349.08,35.5
314,Anmolpreet Singh,9,15.44,120.87,67.63,268.93,35.49
315,Sunny Singh,5,10.75,138.71,69.77,133.85,35.48
316,J Suchith,21,17.5,114.75,60.0,162.38,35.2
317,MD Mishra,17,14.81,113.94,60.76,412.47,35.02
318,S Anirudha,13,17.0,120.35,57.35,264.18,35.0
319,M Markande,40,16.0,114.29,54.17,129.14,34.97
320,Yudhvir Singh,9,5.5,137.5,72.73,101.75,34.93
321,R Sathish,28,15.88,116.88,45.93,463.44,34.93
322,PVD Chameera,19,13.25,126.19,56.6,142.6,34.86
323,SB Jakati,58,28.0,96.55,42.86,90.28,34.75
324,PHKD Mendis,5,23.0,133.33,43.48,204.67,34.75
325,Y Nagar,20,20.36,110.04,47.02,482.52,34.7
326,CA Ingram,15,17.08,113.89,57.56,364.44,34.7
327,D Ferreira,5,15.8,129.51,63.29,183.25,34.66
328,MJ Santner,33,17.0,110.57,52.94,259.28,34.61
329,A Flintoff,3,31.0,116.98,51.61,151.49,34.6
330,A Kamboj,16,21.0,116.67,52.38,121.33,34.6
331,GD Phillips,11,11.89,125.88,63.55,223.44,34.59
332,CM Gautam,13,16.9,112.67,61.54,309.83,34.42
333,TR Birt,5,15.0,129.31,64.0,177.16,34.4
